Mensagem,Classe
Anything lor if they all go then i go lor...,ham
For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,spam
"65-321

PRIVATE! Your 2003 Account Statement for 078-965-321 is not to be shared.",spam
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam
Does uncle timi help in clearing cars,ham
Our Dating Service is reaching out to you.,spam
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 ,spam
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam
26th OF JULY,ham
I had a conversation with Uncle John today and he was adamant that...,ham
"K, I might come by tonight then if my class lets out early",ham
URGENT! This is the second attempt to reach you!,spam
You have been awarded a Nokia 7250i.,spam
"Romantic Paris: 2 Nights, 2 Flights from å£79",spam
Experience Hot Live Fantasies Now - Call 08707509020 Just 2.,spam
500 pounds worth of genuine HMV merchandise,spam
"IMMEDIATE! You have been granted a å£1,500 Bonus for your mobile.",spam
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",spam
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,spam
Oooh bed ridden ey? What are YOU thinking of?,ham
"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",spam
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",spam
"Hi Jon, this is Pete. I recently went to Spain and ...",ham
Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,spam
"Purchase a pizza, either Meat Lovers or Supreme.",ham
This message was originally sent from 448712404000: Please CALL 08712...,spam
Act now! Your 4* Costa Del Sol Holiday or £50...,spam
"You still have SIX chances to win CASH prizes ranging from 100 to 20,000!",spam
Latest Nokia Mobile or iPod MP3 Player for £400,spam
"I'll need to ponder it... alright, you're on.",ham
"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st \Ur Lovely Friendship\""... good morning dear""",ham
You have 1 unread message. Please dial 08718738034.,spam
money!!! you r a lucky winner ! 2 claim your prize text money 2 88600 over å£1million to give away ! ppt150x3+normal text rate box403 w1t1jy,spam
* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw,spam
Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,ham
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
"That's awesome, your highness! I will adorn your face with...",ham
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam
Post updates to your Facebook page regularly.,ham
You are a lucky winner to claim your prize money!,spam
Act Now! We have 800 FREE flights to Europe available!,spam
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham
We'll have you pay over the course of &lt;#&gt; years so it's...,ham
"I apologize, I am still in a difficult situation after last night went to bed.",ham
Hey folks...$700 or $900 for 5 nights...Excellent!,ham
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,ham
"Apologies, I am unable to call you at this time as I am in a meeting.",ham
When have you and Derek finished with class?,ham
A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),ham
18 days until the Euro2004 kickoff! You will be kept informed...,spam
Text for your chance to win £250 cash every week.,spam
The fact that you're cleaning demonstrates your understanding of what is expected.,ham
"Party's at my place at usf, no charge (but if you can contribute in any way it is greatly appreciated) and yeah, we got room for one more",ham
JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,ham
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,spam
This is the second time we have attempted to contact you.,spam
"Congratulations! A two-person, one-year special cinema pass has been awarded.",spam
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
Attention! The computer has chosen you as Big Brother.,spam
