Mensagem,Classe
\ME 2 BABE I FEEL SAME LETS JUST THE 4GET ABOU...,ham
Sunshine Hols. To claim ur med holiday send ... a,spam
"Call me da, i am waiting for your call.",ham
Hey they r not watching i'll movie tonight so ...,ham
Please leave this topic..sorry for telling that..,ham
Infact where happy new are year. How are you y...,ham
Fantasy is back on your Football Go TV. to Sky...,spam
to am I in bus on the way calicut,ham
sister cleared two round in birla My soft yest...,ham
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
Hiya. How was night? been last I've naughty an...,ham
"If you prize will don't, go to another your cu...",spam
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam
telling topic..sorry Please leave this for that..,ham
ill have to think about Hmm it... you're ok fo...,ham
information 4 user orange 0789xxxxxx... important,spam
25p 4 Moon's alfie Children in need song on ur...,spam
You services. are now unsubscribed all Get ton...,spam
Okie... Thanx...,ham
it to 80488. 500 free are text Your messages v...,spam
Where are you?when wil you reach here?,ham
don't know u know and u I don't me. Send CHAT ...,spam
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",spam
RCT' THNQ Adrian for U text. Rgds Vatian,spam
UR awarded a City Break and could a WIN å£200 ...,spam
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
Nope... Think i will go for it on monday... Sorry i replied so late,ham
yo... the jamster videosound gold Enjoy club with,spam
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),ham
"\""morning\"" Helloooo... Wake \""... up..! \Sweet\""",ham
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,spam
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham
"K, I might class come tonight then if my by le...",ham
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",ham
"Storming msg: Wen u lift d phne, u say \HELLO\"" Do u knw wt is d real meaning of HELLO?? . . . It's d name of a girl..! . . . Yes.. And u knw who is dat girl?? \""Margaret Hello\"" She is d girlfrnd f Grahmbell who invnted telphone... . . . . Moral:One can 4get d name of a person",ham
gonna me know cos let comes bak from holiday ...,ham
"YOU VE WON! Your 4* Costa Del Sol Holiday or å£5000 await collection. Call 09050090044 Now toClaim. SAE, TC s, POBox334, Stockport, SK38xh, Costå£1.50/pm, Max10mins",spam
Does uncle timi help cars in clearing,ham
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
"Call me da, i am call. waiting for your",ham
Nothing but we jus tot u would ask cos u ba gua... But we went mt faber yest... Yest jus went out already mah so today not going out... Jus call lor...,ham
Get your FREE garden ready for summer with a s...,spam
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,spam
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",spam
1 No POLYPHONIC 4 ur mob every tone week! Just...,spam
"Well, I have my leave for class babe to ... Yo...",ham
Ok lor...,ham
bed Oooh ridden ey? What are YOU of? thinking,ham
Yun But school got offer 2000 buying... plus o...,ham
I am literally in and have been up for lik... bed,ham
Ok thanx...,ham
"Your account has been credited with 500 FREE Text Messages. To activate, just txt the word: CREDIT to No: 80488 T&Cs www.80488.biz",spam
Anything lor if they all go then i go lor...,ham
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
FREE 4 for 1st No1 week! Nokia tone ur mob eve...,spam
They just talking thats it o... any de. They wont,ham
"now I'm eatin but lor, goin back to work soon....",ham
I dunno until when... Lets go learn pilates...,ham
For ur chance win a to å£250 cash every wk TXT...,spam
Still i have not checked it da. . .,ham
"Not sure yet, still trying to get a hold of him",ham
have won award a guaranteed å£200 You or even ...,spam
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
you did in leave. What,ham
"accordingly. I repeat, just word text the ok o...",spam
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,ham
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,ham
No calls calls..messages..missed,ham
URGENT! membership You won a 1 week FREE have ...,spam
Enjoy the jamster videosound gold club with your credits for 2 new videosounds+2 logos+musicnews! get more fun from jamster.co.uk! 16+only Help? call: 09701213186 ,spam
"I'll call you Sorry, later. I am in meeting sir.",ham
Well i know Z take care of me. So no will worr...,ham
Minimum walk is 3miles a day.,ham
When're you guys back? G were... getting said you,ham
Your opinion about me? 1. Over 2. 3. Jada Kusr...,ham
"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",spam
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ ,spam
RGENT! This is the 2nd attempt to contact U!U have WON å£1250 CALL 09071512433 b4 050703 T&CsBCM4235WC1N3XX. callcost 150ppm mobilesvary. maxå£7. 50,spam
Then why you came to hostel.,ham
but we jus tot u u would ask cos ba Nothing gu...,ham
You are now unsubscribed all services. Get tons of sexy babes or hunks straight to your phone! go to http://gotbabes.co.uk. No subscriptions.,spam
Mind blastin.. No more Tsunamis will occur from now on.. Rajnikant stopped swimming in Indian Ocean..:-D,ham
Mobile Club: Choose of the top quality any ite...,spam
WE TO INFORM U THE NHS THAT HAS MADE A REGRET ...,ham
Tell me whos this pls:-),ham
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam
"SIX 20,000 to chances win CASH! From 100 to po...",spam
"cmon babe, make me... me horny, *turn* Txt me on!",spam
"Romantic 2 2 flights from å£79 ... Paris. nights,",spam
important information 4 orange user 0789xxxxxxx. today is your lucky day!2find out why log onto http://www.urawinner.com THERE'S A FANTASTIC SURPRISE AWAITING YOU!,spam
Your 2004 Account Statement for 07742... PRIVATE!,spam
You believe it but it's true. won't It's Incre...,spam
Congrats 2 3G mobile R Videophones yours. call...,spam
Going thru a very different feeling.wavering decisions and coping up with the same is the same individual.time will heal everything i believe.,ham
