mensagem,classe
<Forwarded from 448712404000>CALL 08712...,1
Congratulations! The Nokia 3650 video camera phone is you...,1
RCT' THNQ Adrian for U text. Rgds Vatian,1
"Arms fine, how's Cardiff and uni? ",0
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,1
When're you guys getting back? G said you were thinking about not staying for mcr,0
"Attack Message: When you lift Daphne up, you say HELLO...",0
Does uncle timi help in clearing cars,0
"By the way, make sure u get train to worc foregate street not shrub hill. Have fun night x",0
Today my system is ready. everything is fine and I...,0
Okay. Thank you...,0
"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",1
"Thats a bit weird, even ?- where is the do supposed to be happening? But good idea, sure they will be in pub!",0
"For ur chance to win a å£250 cash every wk TXT: ACTION to 80608. T's&C's www.movietrivia.tv custcare 08712405022, 1x150p/wk",1
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),1
Just buy a pizza. Meat lovers or supreme. U get to pick.,0
"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",0
"Sorry, I missed your call, let's talk when you...",1
Tell me whos this pls:-),0
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",1
Okie... Thanx...,0
No calls..messages..missed calls,0
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,0
JADE IS PAUL. Didn't you send me a message? DO YOU REMEMBER...,0
Hmm ill have to think about it... ok you're forgiven! =D,0
"Oooh, bedridden, hey? What are you thinking?",0
I need details about that online job.,0
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",1
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,1
"I'm still not sure, I'm still trying to contact him",0
"Holidays in the Sun. To claim your medical holidays, send a...",1
Nothing other than us just asking you why you are ba gu...,0
"URGENT! Your cell phone received a bonus of £1,500...",1
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,1
The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,0
PRIVATE! Your 2003 account statement for 078,1
SMS. ac sun0819 posts HELLO:\You look nice,1
Refused a loan? Safe or Unsafe? I am unable...,1
important information 4 orange user 0789xxxxxx...,1
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),0
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",1
What you did in  leave.,0
Gr8 new service - live sex video chat on your ...,1
FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,1
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,1
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",1
"Haha figures, well I found the piece and priscilla's bowl",0
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,1
"Hello O... Wake up..! \In the morning\"" \""...",0
I keep ten rs in my shelf:) buy two egg.,0
Anything lor if they all go then i go lor...,0
