Mensagem,Genero
No... I think I'll do it on Monday... So...,ham
"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
You have 1 new message. Call 08718738034.,spam
FREE in the 1st week! No1 Nokia tone 4 your cell phone...,spam
RCT' THNQ Adrian for U text. Rgds Vatian,spam
U ned to convince him tht its not possible witot hurting his feeling its the main,ham
"For your chance to win £250 cash every week, TXT...",spam
"Come on, baby, make me horny, turn me on! Send me a message...",spam
"Final Chance! Claim ur å£150 worth of discount vouchers today! Text YES to 85023 now! SavaMob, member offers mobile! T Cs SavaMob POBOX84, M263UZ. å£3.00 Subs 16",spam
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
They just talking thats it de. They wont any other.,ham
+123 Congratulations - in this week's competition...,spam
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam
What does your schedule look like next week? I'm out of...,ham
"Of course, but since my parents will be working in T...",ham
Married local women looking for discreet action...,spam
Do you want explicit SEX in 30 seconds? Ring 02073162414...,spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
Were realized...,ham
Minimum walk is 3miles a day.,ham
<Forwarded from 448712404000>Please CALL 08712404000 immediately as there is an urgent message waiting for you.,spam
SMS. ac sun0819 posts HELLO:\You look nice,spam
Urgent Urgent! We have 800 FREE flights to Europe...,spam
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,ham
FREE in the 1st week! No1 Nokia tone 4 your mobile...,spam
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,spam
"Spoke with uncle john today. He strongly feels that you need to sacrifice to keep me here. He's going to call you. When he does, i beg you to just listen. Dont make any promises or make it clear things are not easy. And i need you to please let us work things out. As long as i keep expecting help, my creativity will be stifled so pls just keep him happy, no promises on your part.",ham
Where are you? When will you get here?,ham
I walked an hour 2 c u! doesnåÕt that show I care y wont u believe im serious?,ham
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
EASTENDERS TV Quiz. What FLOWER does DOT com...,spam
"Call me da, i am waiting for your call.",ham
"accordingly. I repeat, just send a message with the word ok or...",spam
I'm on the bus on my way to Calicut,ham
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,spam
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIAL...,spam
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
You were bested by simonwatson5120 on Shinco...,spam
Today my system sh get ready.all is well and i am also in the deep well,ham
"Haha figures, well I found the piece and prisc...",ham
PRIVATE! Your 2004 account statement for 07742...,spam
Update your Facebook status frequently :),ham
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,spam
Mind explosion. There will be no more tsunamis from...,ham
Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx,spam
"For ur chance to win a å£250 wkly shopping spree TXT: SHOP to 80878. T's&C's www.txt-2-shop.com custcare 08715705022, 1x150p/wk",spam
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,spam
Well I know Z will take care of me. So do not worry...,ham
18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,spam
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
We still on for tonight?,ham
Free message: Jamster! Listen to the sound of the crazy frog...,spam
"As a SIM subscriber, you are selected to receive...",spam
"For your chance to win £250 cash every week, TXT...",spam
Does uncle timi help in clearing cars,ham
*FREE* POLYPHONIC RINGTONE Text SUPER to 8713...,spam
"\ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX\""""",ham
"Holidays in the Sun. To claim your medical holidays, send a...",spam
XCLUSIVE@CLUBSAISAI 2MOROW 28/5 SOIREE SPECIALE ZOUK WITH NICHOLS FROM PARIS.FREE ROSES 2 ALL LADIES !!! info: 07946746291/07880867867 ,spam
"Baby, I'm not denying your words, please",ham
Tessy..please do me a favor. Please broadcast my birthday...,ham
Please leave this thread.. sorry for saying that..,ham
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,spam
"In fact, happy new year. How are you where are you...",ham
Mobile Club: Choose any of the high-quality items...,spam
"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...",ham
"This week's new shades include: 1) McFly-All Ab..,...",spam
