Mensagem,Genero
IMMEDIATE! We are attempting to reach U. Today's deadline is of the utmost importance.,spam
Let's talk when you have the chance.,spam
Text for your chance to win £250 cash every week.,spam
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
Please let me know who this is.,ham
"Hey Boys. Want hot XXX pics sent direct 2 ur phone? Txt PORN to 69855, 24Hrs free and then just 50p per day. To stop text STOPBCM SF WC1N3XX",spam
RCT' THNQ Adrian for U text. Rgds Vatian,spam
Todays Voda numbers ending 5226 are selected to receive a ?350 award. If you hava a match please call 08712300220 quoting claim code 1131 standard rates app ,spam
Are we still on for tonight?,ham
Today's Voda numbers ending in 5226 that have been chosen are,spam
"Well, I gotta jet for my class babe.",ham
"Yun buying, but school got an offer of 2000+",ham
"I apologize, I am in a meeting and will call later.",ham
Gr8 new service - live sex video chat on your mob - see the sexiest dirtiest girls live on ur phone - 4 details text horny to 89070 to cancel send STOP to 89070,spam
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,spam
When're you guys getting back? G said you were thinking about not staying for mcr,ham
Download as many ringtones as you desire without any restrictions.,spam
U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094599,spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,ham
He didn't see his shadow. We get an early spring yay,ham
"Is the Gower where I am, mate? How so?",ham
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",spam
This is a PRIVATE 2003 Account Statement for you.,spam
"Purchase a pizza, either Meat Lovers or Supreme.",ham
"Accordingly, I reiterate, simply text the word ""ok"" to confirm.",spam
I'll go ahead and watch the movie by myself tonight.,ham
Crazy ar he's married. ÌÏ like gd looking guys not me. My frens like say he's korean leona's fave but i dun thk he is. Aft some thinking mayb most prob i'll go.,ham
"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",spam
Congratulations on your success in this week's competition!,spam
Ok lor...,ham
"Hello, my name is Sue. I am 20 years old and I am employed as a legal assistant.",spam
I dunno until when... Lets go learn pilates...,ham
Anything lor if they all go then i go lor...,ham
JADE ITS PAUL. Y DIDNåÕT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,ham
"It's been a while since I heard from U4. Give me a call now, I'm here.",spam
"Do you have enough money to get the bread, Babe?",ham
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
We're done...,ham
Text SUPER to 8713 for a FREE Polyphonic Ringtone!,spam
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam
URGENT! We are trying to contact U. Todays draw shows that you have won a å£800 prize GUARANTEED. Call 09050003091 from land line. Claim C52. Valid12hrs only,spam
I have ten rupees in my shelf that I will use to buy two eggs.,ham
Someone has reached out to our dating service and expressed interest.,spam
Your current cash balance is 500 pounds.,spam
IMMEDIATE! We are attempting to reach U. Today's deadline is of the utmost importance.,spam
Congratulations! You have won as a valued Vodafone customer!,spam
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,spam
25p for Alfie Moon's Children in Need song on your device.,spam
This is a final contact attempt regarding an IMPORTANT MESSAGE.,spam
Congratulations! You have won a 4* Costa Del Sol Holiday!,spam
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",spam
"Just so that you know,yetunde hasn't sent money yet. I just sent her a text not to bother sending. So its over, you dont have to involve yourself in anything. I shouldn't have imposed anything on you in the first place so for that, i apologise.",ham
"Hi Babe, Even though you are probably in bed, I am still so...",ham
it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam
"Refresh_Now - Xmas Offer! Latest Motorola, Sony...",spam
Attention! The computer has chosen you as Big Brother.,spam
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
"Tessy, could you please do me a favor and pass on my birthday wishes?",ham
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,spam
"Watching cartoons, listening to music, and in the evening...",ham
This message was originally sent from 448712404000: Please CALL 08712...,spam
Sure but since my parents will be working on Tuesday I don't really need a cover story,ham
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 ,spam
"Fantasy Football is back on your TV. Go to Sky Gamestar on Sky Active and play å£250k Dream Team. Scoring starts on Saturday, so register now!SKY OPT OUT to 88088",spam
How much are we getting?,ham
Yes princess! I want to catch you with my big strong hands...,ham
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,ham
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam
"As a SIM subscriber, you have been chosen to receive",spam
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
"URGENT! Your Mobile No was awarded a å£2,000 Bonus Caller Prize on 1/08/03! This is our 2nd attempt to contact YOU! Call 0871-4719-523 BOX95QU BT National Rate",spam
"That's awesome, your highness! I will adorn your face with...",ham
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
Wylie update: my cannabis supplier Carlos went to France.,ham
"Jade, it's Paul. Why didn't you text me? Do you remember?",ham
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
"IMMEDIATE! You have been granted a å£1,500 Bonus for your mobile.",spam
Thats cool princess! I will cover your face in hot sticky cum :),ham
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,spam
Where u been hiding stranger?,ham
I require information regarding that online job.,ham
Oooh bed ridden ey? What are YOU thinking of?,ham
For your chance to win a £250 weekly shopping spree,spam
"Update_Now - Xmas Offer! Latest Motorola, SonyEricsson & Nokia & FREE Bluetooth! Double Mins & 1000 Txt on Orange. Call MobileUpd8 on 08000839402 or call2optout/F4Q=",spam
"Hi Jon, this is Pete. I recently went to Spain and ...",ham
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",ham
Hi dear we saw dear. We both are happy. Where you my battery is low,ham
"Come on, babe, get me aroused! Text me...",spam
Hi there. How was last night? I've been mischievous and...,ham
"Thank you Adrian for your text. Regards, Vatian",spam
"REMINDER FROM O2: To get 2.50 pounds free call credit and details of great offers pls reply 2 this text with your valid name, house no and postcode",spam
