Mensagem,Genero
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
UR awarded a City Break and could WIN a å£200 Summer Shopping spree every WK. Txt STORE to 88039.SkilGme.TsCs087147403231Winawk!Age16+å£1.50perWKsub,spam
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",spam
Congrats! Nokia 3650 video camera phone is your Call 09066382422 Calls cost 150ppm Ave call 3mins vary from mobiles 16+ Close 300603 post BCM4284 Ldn WC1N3XX,spam
Not heard while. from U4 a Call 4 rude pr... chat,spam
"Thats a bit weird, even ?- the where do sup... is",ham
A pure hearted person can have a wonderful smile that makes even his/her enemies to feel guilty for being an enemy.. So catch the world with your smile..:) GOODMORNING &amp; HAVE A SMILEY SUNDAY..:),ham
Sorry I missed your call let's talk when you have the time. I'm on 07090201529,spam
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
information 4 user orange 0789xxxxxx... important,spam
Yes I want catch you with my to princess! big ...,ham
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,ham
"I'm LOL .. *grins* for... .. not babe, but thanks",ham
thanx... Ok,ham
by Dating You are being contacted our Service ...,spam
Tell whos me this pls:-),ham
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,spam
22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08715203685 Identifier Code:4xx26 Expires 13/10/04,spam
Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min Gsex POBOX 2667 WC1N 3XX,spam
Refused Secured or Unsecured? loan? Can't a ge...,spam
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
FLOWER EASTENDERS TV Quiz. What does DOT compa...,spam
HI BABE U R MOST LIKELY TO BE IN BED BUT IM SO SORRY ABOUT TONIGHT! I REALLY WANNA SEE U TOMORROW SO CALL ME AT 9. LOVE ME XXX,ham
RCT' THNQ Adrian for U text. Rgds Vatian,spam
Ok thanx...,ham
Just buy a pizza. Meat lovers or supreme. U get to pick.,ham
Wewa is 130. Iriver 255. All 128 mb.,ham
Sunshine Hols. claim To a ur med holiday send ...,spam
OF JULY 26th,ham
You services. are now unsubscribed all Get ton...,spam
Will Is meet ur u dream partner soon? ur caree...,spam
WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam
Sunshine Hols. To claim ur med holiday send ... a,spam
"As SIM subscriber, recei... a you are selected to",spam
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
"1)McFly-All Tones New This week include: Ab..,...",spam
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam
Ok lor...,ham
"Not sure yet, still hold trying to a of him get",ham
WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
Colour Do you want Del... a New Nokia 3510i Phone,spam
Hiya. How was night? been last I've naughty an...,ham
"- Xmas Offer! Update_Now Latest Motorola, Sony...",spam
Dear i am not denying your words please,ham
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,ham
Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam
Sorry I missed your let's call talk you when h...,spam
As a valued network customer you WINNER!! have...,spam
Wylie update: my weed dealer carlos went to freedom and had a class with lunsford,ham
"(but Party's at my place at usf, no charge if ...",ham
"K, jason says he's gonna be around so I'll be up there around  &lt;#&gt;",ham
Did u got that persons story,ham
"Well, I have my leave for class babe to ... Yo...",ham
You have won a guaranteed å£200 award or even å£1000 cashto claim UR award call free on 08000407165 (18+) 2 stop getstop on 88222 PHP. RG21 4JX,spam
RGENT! to This ... is the 2nd attempt contact U!U,spam
You believe it but it's true. won't It's Incre...,spam
I dont thnk its a wrong calling between us,ham
I am in bus on the way to calicut,ham
I need about that details job. online,ham
"cmon babe, make me horny, *turn* me on! Txt me your fantasy now babe -) Im hot, sticky and need you now. All replies cost å£1.50. 2 cancel send STOP",spam
Its a part of checking IQ,ham
gonna me know cos let comes bak from holiday ...,ham
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
Hi dear dear. we saw We both are happy. Where ...,ham
"You have won ?1,000 cash or a ?2,000 prize! To claim, call09050000327. T&C: RSTM, SW7 3SS. 150ppm",spam
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,ham
An misundrstud excellent thought by a frnd: I ...,ham
Sunshine Quiz Wkly Q! Win a top Sony DVD player if u know which country Liverpool played in mid week? Txt ansr to 82277. å£1.50 SP:Tyrone,spam
do me a favor. Pls birthd... Tessy..pls convey my,ham
FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 8007 Get txting and tell ur mates www.getzed.co.uk POBox 36504 W45WQ norm150p/tone 16+,spam
HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
URGENT! membership You won a 1 week FREE have ...,spam
Congrats! 2 mobile Videophones 3G yours. cal... R,spam
 gonna let me know cos comes bak from holiday that day.  is coming. Don't4get2text me  number. ,ham
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,ham
This weeks member offers are now SavaMob acces...,spam
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
"Just so mone... that you know,yetunde hasn't sent",ham
XCLUSIVE@CLUBSAISAI SOIREE SPECIAL... 28/5 2MOROW,spam
FREE NOKIA Motorola with upto 12mths 1/2pri... Or,spam
