Mensagem,Genero
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,ham
Will you meet your dream partner soon? Your career is...,spam
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,spam
Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528,spam
Tmr timin is still the same cause I got a lesson from you...,ham
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham
Infact happy new year. How are you where are you when are we seeing,ham
BIG BROTHER ALERT! The computer has selected u for 10k cash or #150 voucher. Call 09064018838. NTT PO Box CRO1327 18+ BT Landline Cost 150ppm mobiles vary,spam
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,spam
For participating in our mobile survey yesterday...,spam
You've won a guaranteed prize of å£200 or even...,spam
Get your garden ready for summer with a FREE pack...,spam
Sol Wkly Q Test! Win a top Sony DVD player...,spam
There is no 1 POLYPHONIC 4 tone your crowd every week! Just...,spam
There is no 1 POLYPHONIC 4 tone your crowd every week! Just...,spam
"I'm eating now, but I'll be back to work soon....",ham
I haven't checked yet. . .,ham
"Call me, I'm waiting for your call.",ham
There's still a chance. If you search a lot you will...,ham
MIJO IS TALKING IS SOMEONE WHO REALIZES THIS...,ham
Last chance! Claim your £150 discount...,spam
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,spam
I spoke to Uncle John today. He feels strongly...,ham
The guy just saw a parked car with an open sunroof...,ham
"Oh, damn! I didn't mean to send this to you! Lol!",ham
You have now unsubscribed from all services. Get a ton...,spam
"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",spam
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
FREE in the 1st week! No1 Nokia tone 4 your mobile...,spam
The fact that you're cleaning shows you know why i'm upset. Your priority is constantly \what i want to do,ham
I can't believe how attached I am to seeing you every day. I know you will do the best you can to get to me babe. I will go to teach my class at your midnight,ham
Clear ! Don't tease me... You know I do...,ham
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",spam
Free 1st week entry 2 TEXTPOD 4 a chance 2 win 40GB iPod or å£250 cash every wk. Txt POD to 84128 Ts&Cs www.textpod.net custcare 08712405020.,spam
IMPORTANT MESSAGE. This is a final contact...,spam
"Hi, this is Mandy Sullivan calling from HOTMIX FM...you are chosen to receive å£5000.00 in our Easter Prize draw.....Please telephone 09041940223 to claim before 29/03/05 or your prize will be transferred to someone else....",spam
ROMCAPspam Everyone around should be responding...,spam
Hi dear we saw dear. We both are happy. Where you my battery is low,ham
"Sorry, I'll call you later. I'm in a meeting, sir.",ham
Latest Nokia Mobile or iPOD MP3 Player + £400...,spam
YOU WON! Your 4* holiday on the Costa Del Sol or...,spam
"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 å£3 ",spam
it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam
Please leave this topic..sorry for telling that..,ham
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ ,spam
"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?",ham
Did you understand that person's story?,ham
Mobile Club: Choose any of the top quality items for your mobile. 7cfca1a,spam
An excellent thought from a misunderstood friend: I...,ham
Its a part of checking IQ,ham
WE REGRET TO INFORM YOU THAT THE NHS HAS MADE A...,ham
"O2 REMINDER: To get £2.50, call free...",spam
YOU HAVE WON! As a valued Vodafone customer our computer has picked YOU to win a å£150 prize. To collect is easy. Just call 09061743386 ,spam
"Latest Nokia Mobile or iPOD MP3 Player +å£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.å£1,50/Mtmsgrcvd18+",spam
18 days until the start of Euro2004! You will be kept in...,spam
"Anything, if they all go, then I'll...",ham
Congratulations! The special 1-year cinema pass for 2 people is...,spam
"Hi Shanil, Rakhesh here. Thanks, I changed it...",ham
When did you and Derek finish class?,ham
PISS IS TALKING IS SOMEONE THAT REALISE U THAT POINT THIS AT IS IT.(NOW READ IT BACKWARDS),ham
"Update_Now - Christmas Offer! Latest Motorola, Sony...",spam
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info",spam
Customer loyalty offer: The NEW Nokia 6650 cell phone...,spam
"Romantic Paris. 2 nights, 2 flights from £79...",spam
