Mensagem,Genero
This is the second time we have attempted to contact you.,spam
You are a lucky winner to claim your prize money!,spam
Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
"This weeks SavaMob member offers are now accessible. Just call 08709501522 for details! SavaMob, POBOX 139, LA3 2WU. Only å£1.50/week. SavaMob - offers mobile!",spam
Latest Nokia Mobile or iPod MP3 Player for £400,spam
Enter for free weekly to have a chance to ...,spam
What is the amount we are receiving?,ham
"Go to Jurong Point, if you're feeling adventurous, but it's only available...",ham
"HOT LIVE FANTASIES call now 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national rate call",spam
Today I am going to college so I am not able to attend.,ham
"No problem, thank you.",ham
Let's just forget about it and be two babes who feel the same.,ham
You have a secret admirer who is seeking to make,spam
Today my system is prepared and ready to go. All is well and I...,ham
An excellent thought by a misundrstud frnd: I knw u hate me bt the day wen u'll knw the truth u'll hate urself:-( Gn:-),ham
Guess what! Somebody you know secretly fancies you! Wanna find out who it is? Give us a call on 09065394973 from Landline DATEBox1282EssexCM61XN 150p/min 18,spam
Sure.,ham
Purchase a Nokia or Motorola phone at half price with up to 12 months of free service.,spam
"FREE NOKIA Or Motorola with upto 12mths 1/2price linerental, 500 FREE x-net mins&100txt/mth FREE B'tooth*. Call Mobileupd8 on 08001950382 or call 2optout/D3WV",spam
"If you search diligently, there is still a chance.",ham
Yun buying... But school got offer 2000 plus only...,ham
"I'll need to ponder it... alright, you're on.",ham
Still chance there. If you search hard you will get it..let have a try :),ham
Today am going to college so am not able to atten the class.,ham
"He's crazy that he's married, but I like good-looking guys...",ham
We can go for a regular Pilates session after our introduction.,ham
How is your schedule next week? I am out of town this weekend.,ham
"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",spam
Alright.,ham
"Romantic Paris. 2 nights, 2 flights from å£79 Book now 4 next year. Call 08704439680Ts&Cs apply.",spam
"This is a reminder from O2: To receive £2.50 free, please call...",spam
Hiya. How was last night? I've been naughty and bought myself clothes and very little ... Ready for more shopping tho! What kind of time do you wanna meet?,ham
Well i know Z will take care of me. So no worries.,ham
Let's find out how long until we can go learn pilates.,ham
Let me know when he comes back from holiday.,ham
Experience Hot Live Fantasies Now - Call 08707509020 Just 2.,spam
Nope... Think i will go for it on monday... Sorry i replied so late,ham
Does uncle timi help in clearing cars,ham
WE REGRET TO INFORM U THAT THE NHS HAS MADE A MISTAKE.U WERE NEVER ACTUALLY BORN.PLEASE REPORT 2 YOR LOCAL HOSPITAL 2B TERMINATED.WE R SORRY 4 THE INCONVENIENCE,ham
