Mensagem,Genero
you guys back? said you,ham
"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",spam
Someone has contacted our dating service and entered your phone because they fancy you! To find out who it is call from a landline 09111032124 . PoBox12n146tf150p,spam
You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+ ,spam
RCT' THNQ Adrian for U text. Rgds Vatian,spam
Yun buying... But offer o...,ham
HMV SPECIAL pounds genuine HMV,spam
"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",spam
Everyone around,spam
Sunshine ur med holiday send a,spam
have not da. . .,ham
Update_Now - Offer!,spam
Does uncle timi help in clearing cars,ham
Free entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,spam
missed your let's when you h...,spam
Hey pple...$700 or $900 for 5 nights...Excellent location wif breakfast hamper!!!,ham
Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,spam
Yes princess! I want to catch you with my big strong hands...,ham
We have 800 flights Eur...,spam
Did u got that persons story,ham
entry a weekly comp for a to ...,spam
We'll you pay over like  &lt;#&gt; yrs so its not too difficult,ham
Nope... i go for on So...,ham
- this week's,spam
Oooh bed ridden ey? What are YOU thinking of?,ham
Ok...,ham
Infact happy new year. How are you where are you when are we seeing,ham
a bit even where the do sup...,ham
Moby Pub Quiz.Win a if...,spam
"Just so know,yetunde mone...",ham
when you and derek done with class?,ham
U ned to convince him tht its not possible witot hurting his feeling its the main,ham
WIN a year supply of CDs 4 a store of ur choice worth å£500 & enter our å£100 Weekly draw txt MUSIC to 87066 Ts&Cs www.Ldew.com.subs16+1win150ppmx3,spam
Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*,ham
For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,spam
have 1 message. call,spam
gonna me know comes from holiday,ham
1 POLYPHONIC tone ur every Just...,spam
PRIVATE! Your 2003 Account Statement for 078,spam
you want a New Nokia Colour,spam
No:-)i got rumour that to,ham
How much are we getting?,ham
i know Z will take me. So no,ham
"K, says gonna around so I'll be",ham
3miles a,ham
1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
"Hi here.thanks,i have exchanged...",ham
Today my system ready.all and i...,ham
We still for tonight?,ham
"Helloooo... Wake up..! \Sweet\"" \""morning\"" \""welcomes\"" \""You\"" \""Enjoy\"" \""This Day\"" \""with full of joy\"".. \""GUD MRNG\"".""",ham
What you did in  leave.,ham
Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX å£1.50,spam
I keep ten rs in my shelf:) buy two egg.,ham
You are a winner U have been specially selected 2 receive å£1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810810,spam
* RINGTONE SUPER 8713...,spam
No * am working on the ringing u thing but have whole houseful of screaming brats so * am pulling my hair out! Loving u,ham
1 year for 2 is ...,spam
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",spam
PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S. I. M. points. Call 08715203652 Identifier Code: 42810 Expires 29/10/0,spam
now all Get ton...,spam
1. Over 2. Jada 3. Kusr...,ham
http//tms. widelive.com/index.,spam
SMS. ac sun0819 posts HELLO:\You seem cool,spam
"New Tones This week include: 1)McFly-All Ab.., 2) Sara Jorge-Shock.. 3) Will Smith-Switch.. To order follow instructions on next message",spam
it to 80488. Your 500 free text messages are valid until 31 December 2005.,spam
Your 2003 Statement,spam
hearted person have wonderful smi...,ham
sister two round in yest...,ham
XCLUSIVE@CLUBSAISAI 2MOROW SOIREE SPECIAL...,spam
Chance! Claim worth of,spam
"Will u meet ur dream partner soon? Is ur career off 2 a flyng start? 2 find out free, txt HORO followed by ur star sign, e. g. HORO ARIES",spam
am bus on way calicut,ham
ROMCAPspam Everyone around should be responding well to your presence since you are so warm and outgoing. You are bringing in a real breath of sunshine.,spam
"LOL .. *grins* .. I'm not babe, but thanks for thinking of me!",ham
25p 4 alfie Moon's Children in need song on ur mob. Tell ur m8s. Txt Tone charity to 8007 for Nokias or Poly charity for polys: zed 08701417012 profit 2 charity.,spam
"If you're still up, maybe leave the credit card so I can get gas when I get back like he told me to",ham
We are supposed to meet to discuss abt our trip... Thought xuhui told you? In the afternoon. Thought we can go for lesson after that,ham
We'll you &lt;#&gt; yrs so its,ham
women for actio...,spam
have admirer who is looking make ...,spam
is back on your to Sky...,spam
IMPORTANT MESSAGE. This is a final contact attempt. You have important messages waiting out our customer claims dept. Expires 13/4/04. Call 08717507382 NOW!,spam
