Mensagem,Genero
How is schedule next I week? am your out of to...,ham
Thats cool princess! I will cover your face in hot sticky cum :),ham
Your opinion about me? 1. Over 2. 3. Jada Kusr...,ham
"If you don't, your prize will go to another customer. T&C at www.t-c.biz 18+ 150p/min Polo Ltd Suite 373 London W1J 6HL Please call back if busy ",spam
Ever thought about living a good life with a perfect partner? Just txt back NAME and AGE to join the mobile community. (100p/SMS),spam
Hi dear we saw dear. We both are happy. Where you my battery is low,ham
We still on for tonight?,ham
SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK åÔMORROW. C U THIS WK? WHO WAS THE MSG 4? åÐ RANDOM!,ham
Natalja (25/F) is inviting you to be her friend. Reply YES-440 or NO-440 See her: www.SMS.ac/u/nat27081980 STOP? Send STOP FRND to 62468,spam
I keep ten rs in my shelf:) buy two egg.,ham
Congrats! 1 special cinema is pass for 2 year ...,spam
"I'm eatin now lor, but goin back to work soon... E mountain deer show huh... I watch b4 liao, very nice...",ham
No 1 ur POLYPHONIC tone 4 mob every week! Just...,spam
Oh dang! I mean o didn't you! send that to Lol!,ham
26th OF JULY,ham
Moby Pub Quiz.Win a å£100 High Street prize if u know who the new Duchess of Cornwall will be? Txt her first name to 82277.unsub STOP å£1.50 008704050406 SP,spam
Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas,ham
Nope... Think i will go for it on monday... Sorry i replied so late,ham
Where u been hiding stranger?,ham
SMS. ac sun0819 posts HELLO:\You seem cool,spam
"As a SIM subscriber, you are selected to receive a Bonus! Get it delivered to your door, Txt the word OK to No: 88600 to claim. 150p/msg, EXP. 30Apr",spam
"Well, I have to leave for my class babe ... You never came back to me ... :-( ... Hope you have a nice sleep, my love",ham
I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.,spam
don't know u know and u I don't me. Send CHAT ...,spam
We can go 4 e normal pilates after our intro...  ,ham
"K, I might come by tonight then if my class lets out early",ham
Gr8 new service ... - sex video chat on live your,spam
No 1 POLYPHONIC tone 4 ur mob every week! Just txt PT2 to 87575. 1st Tone FREE ! so get txtin now and tell ur friends. 150p/tone. 16 reply HL 4info,spam
"FreeMSG You have been awarded a FREE mini DIGITAL CAMERA, just reply SNAP to collect your prize! (quizclub Opt out? Stop 80122300p/wk SP:RWM Ph:08704050406)",spam
staff.science.nus.edu.sg/~phyhcmk/teaching/pc1323,ham
"Hi Pete here, Ive Jon, bin 2 Spain recently & ...",ham
"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam
Okie... Thanx...,ham
HMV SPECIAL BONUS 500 pounds of genuine HMV vo...,spam
Moby a å£100 Quiz.Win Pub High Street prize if...,spam
For ur chance win a to å£250 cash every wk TXT...,spam
Married actio... women looking for local discreet,spam
"Your free ringtone is waiting to be collected. Simply text the password \MIX\"" to 85069 to verify. Get Usher and Britney. FML",spam
"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",spam
